ID;dart;x;y;z
245;1959;-0.757772;0.216506;-0.4375;
246;1967;-0.678525;0.125;-0.391747;
247;1975;-0.649519;0;-0.375;
248;1983;-0.678525;-0.125;-0.391747;
249;1991;-0.757772;-0.216506;-0.4375;
250;1999;-0.866025;-0.25;-0.5;
251;2007;-0.974278;-0.216506;-0.5625;
252;2015;-1.05352;-0.125;-0.608253;
253;2110;-1.15485;0;-0.478354;
254;2031;-1.1239;0.125;-0.465537;
255;2039;-1.03936;0.216506;-0.430519;
256;2047;-0.92388;0.25;-0.382683;
257;2055;-0.808395;0.216506;-0.334848;
258;2063;-0.723854;0.125;-0.29983;
259;2071;-0.69291;0;-0.287013;
260;2079;-0.723854;-0.125;-0.29983;
261;2087;-0.808395;-0.216506;-0.334848;
262;2095;-0.92388;-0.25;-0.382683;
263;2103;-1.03936;-0.216506;-0.430519;
264;2111;-1.1239;-0.125;-0.465537;
265;2206;-1.20741;0;-0.323524;
266;2127;-1.17506;0.125;-0.314855;
267;2135;-1.08667;0.216506;-0.291171;
268;2143;-0.965926;0.25;-0.258819;
269;2151;-0.845185;0.216506;-0.226467;
270;2159;-0.756797;0.125;-0.202783;
271;2167;-0.724444;0;-0.194114;
272;2175;-0.756797;-0.125;-0.202783;
273;2183;-0.845185;-0.216506;-0.226467;
274;2191;-0.965926;-0.25;-0.258819;
275;2199;-1.08667;-0.216506;-0.291171;
276;2207;-1.17506;-0.125;-0.314855;
277;2302;-1.23931;0;-0.163158;
278;2223;-1.2061;0.125;-0.158786;
279;2231;-1.11538;0.216506;-0.146842;
280;2239;-0.991445;0.25;-0.130526;
281;2247;-0.867514;0.216506;-0.114211;
282;2255;-0.776791;0.125;-0.102267;
283;2263;-0.743584;0;-0.097895;
284;2271;-0.776791;-0.125;-0.102267;
285;2279;-0.867514;-0.216506;-0.114211;
286;2287;-0.991445;-0.25;-0.130526;
287;2295;-1.11538;-0.216506;-0.146842;
288;2303;-1.2061;-0.125;-0.158786;
289;2398;-1.25;0;0;
290;2319;-1.21651;0.125;0;
291;2327;-1.125;0.216506;0;
292;2335;-1;0.25;0;
293;2343;-0.875;0.216506;0;
294;2351;-0.783494;0.125;0;
295;2359;-0.75;0;0;
296;2367;-0.783494;-0.125;-0;
297;2375;-0.875;-0.216506;-0;
298;2383;-1;-0.25;-0;
299;2391;-1.125;-0.216506;-0;
300;2399;-1.21651;-0.125;-0;
301;2494;-1.23931;-0;0.163158;
302;2415;-1.2061;0.125;0.158786;
303;2423;-1.11538;0.216506;0.146842;
304;2431;-0.991445;0.25;0.130526;
305;2439;-0.867514;0.216506;0.114211;
306;2447;-0.776791;0.125;0.102267;
307;2455;-0.743584;-0;0.097895;
308;2463;-0.776791;-0.125;0.102267;
309;2471;-0.867514;-0.216506;0.114211;
310;2479;-0.991445;-0.25;0.130526;
311;2487;-1.11538;-0.216506;0.146842;
312;2495;-1.2061;-0.125;0.158786;
313;2590;-1.20741;-0;0.323524;
314;2511;-1.17506;0.125;0.314855;
315;2519;-1.08667;0.216506;0.291171;
316;2527;-0.965926;0.25;0.258819;
317;2535;-0.845185;0.216506;0.226467;
318;2543;-0.756797;0.125;0.202783;
319;2551;-0.724444;-0;0.194114;
320;2559;-0.756797;-0.125;0.202783;
321;2567;-0.845185;-0.216506;0.226467;
322;2575;-0.965926;-0.25;0.258819;
323;2583;-1.08667;-0.216506;0.291171;
324;2591;-1.17506;-0.125;0.314855;
325;2686;-1.15485;-0;0.478354;
326;2607;-1.12391;0.125;0.465536;
327;2615;-1.03937;0.216506;0.430518;
328;2623;-0.92388;0.25;0.382683;
329;2631;-0.808395;0.216506;0.334848;
330;2639;-0.723854;0.125;0.29983;
331;2647;-0.69291;-0;0.287012;
332;2655;-0.723854;-0.125;0.29983;
333;2663;-0.808395;-0.216506;0.334848;
334;2671;-0.92388;-0.25;0.382683;
335;2679;-1.03937;-0.216506;0.430518;
336;2687;-1.12391;-0.125;0.465536;
337;2782;-1.08253;-0;0.625;
338;2703;-1.05353;0.125;0.608253;
339;2711;-0.974279;0.216506;0.5625;
340;2719;-0.866026;0.25;0.5;
341;2727;-0.757772;0.216506;0.4375;
342;2735;-0.678525;0.125;0.391747;
343;2743;-0.649519;-0;0.375;
344;2751;-0.678525;-0.125;0.391747;
345;2759;-0.757772;-0.216506;0.4375;
346;2767;-0.866026;-0.25;0.5;
347;2775;-0.974279;-0.216506;0.5625;
348;2783;-1.05353;-0.125;0.608253;
349;2878;-0.991692;-0;0.760952;
350;2799;-0.965119;0.125;0.740562;
351;2807;-0.892522;0.216506;0.684857;
352;2815;-0.793353;0.25;0.608761;
353;2823;-0.694184;0.216506;0.532666;
354;2831;-0.621587;0.125;0.476961;
355;2839;-0.595015;-0;0.456571;
356;2847;-0.621587;-0.125;0.476961;
357;2855;-0.694184;-0.216506;0.532666;
358;2863;-0.793353;-0.25;0.608761;
359;2871;-0.892522;-0.216506;0.684857;
360;2879;-0.965119;-0.125;0.740562;
361;2974;-0.883884;-0;0.883883;
362;2895;-0.8602;0.125;0.8602;
363;2903;-0.795495;0.216506;0.795495;
364;2911;-0.707107;0.25;0.707107;
365;2919;-0.618719;0.216506;0.618718;
366;2927;-0.554014;0.125;0.554013;
367;2935;-0.53033;-0;0.53033;
368;2943;-0.554014;-0.125;0.554013;
369;2951;-0.618719;-0.216506;0.618718;
370;2959;-0.707107;-0.25;0.707107;
371;2967;-0.795495;-0.216506;0.795495;
372;2975;-0.8602;-0.125;0.8602;
373;3070;-0.760952;-0;0.991691;
374;2991;-0.740563;0.125;0.965119;
375;2999;-0.684857;0.216506;0.892522;
376;3007;-0.608762;0.25;0.793353;
377;3015;-0.532667;0.216506;0.694184;
378;3023;-0.476961;0.125;0.621587;
379;3031;-0.456571;-0;0.595015;
380;3039;-0.476961;-0.125;0.621587;
381;3047;-0.532667;-0.216506;0.694184;
382;3055;-0.608762;-0.25;0.793353;
383;3063;-0.684857;-0.216506;0.892522;
384;3071;-0.740563;-0.125;0.965119;
385;3166;-0.625;-0;1.08253;
386;3087;-0.608253;0.125;1.05353;
387;3095;-0.5625;0.216506;0.974279;
388;3103;-0.5;0.25;0.866026;
389;3111;-0.4375;0.216506;0.757772;
390;3119;-0.391747;0.125;0.678525;
391;3127;-0.375;-0;0.649519;
392;3135;-0.391747;-0.125;0.678525;
393;3143;-0.4375;-0.216506;0.757772;
394;3151;-0.5;-0.25;0.866026;
395;3159;-0.5625;-0.216506;0.974279;
396;3167;-0.608253;-0.125;1.05353;
397;3262;-0.478354;-0;1.15485;
398;3183;-0.465537;0.125;1.1239;
399;3191;-0.430519;0.216506;1.03936;
400;3199;-0.382684;0.25;0.92388;
401;3207;-0.334848;0.216506;0.808395;
402;3215;-0.29983;0.125;0.723854;
403;3223;-0.287013;-0;0.69291;
404;3231;-0.29983;-0.125;0.723854;
405;3239;-0.334848;-0.216506;0.808395;
406;3247;-0.382684;-0.25;0.92388;
407;3255;-0.430519;-0.216506;1.03936;
408;3263;-0.465537;-0.125;1.1239;
409;3358;-0.323524;-0;1.20741;
410;3279;-0.314855;0.125;1.17506;
411;3287;-0.291172;0.216506;1.08667;
412;3295;-0.258819;0.25;0.965926;
413;3303;-0.226467;0.216506;0.845185;
414;3311;-0.202783;0.125;0.756797;
415;3319;-0.194115;-0;0.724444;
416;3327;-0.202783;-0.125;0.756797;
417;3335;-0.226467;-0.216506;0.845185;
418;3343;-0.258819;-0.25;0.965926;
419;3351;-0.291172;-0.216506;1.08667;
420;3359;-0.314855;-0.125;1.17506;
421;3454;-0.163158;-0;1.23931;
422;3375;-0.158787;0.125;1.2061;
423;3383;-0.146843;0.216506;1.11538;
424;3391;-0.130527;0.25;0.991445;
425;3399;-0.114211;0.216506;0.867514;
426;3407;-0.102267;0.125;0.776791;
427;3415;-0.097895;-0;0.743584;
428;3423;-0.102267;-0.125;0.776791;
429;3431;-0.114211;-0.216506;0.867514;
430;3439;-0.130527;-0.25;0.991445;
431;3447;-0.146843;-0.216506;1.11538;
432;3455;-0.158787;-0.125;1.2061;
433;3550;0;-0;1.25;
434;3471;0;0.125;1.21651;
435;3479;0;0.216506;1.125;
436;3487;0;0.25;1;
437;3495;0;0.216506;0.875;
438;3503;0;0.125;0.783494;
439;3511;0;-0;0.75;
440;3519;0;-0.125;0.783494;
441;3527;0;-0.216506;0.875;
442;3535;0;-0.25;1;
443;3543;0;-0.216506;1.125;
444;3551;0;-0.125;1.21651;
445;3646;0.163158;-0;1.23931;
446;3567;0.158786;0.125;1.2061;
447;3575;0.146842;0.216506;1.11538;
448;3583;0.130526;0.25;0.991445;
449;3591;0.11421;0.216506;0.867514;
450;3599;0.102266;0.125;0.776791;
451;3607;0.097895;-0;0.743584;
452;3615;0.102266;-0.125;0.776791;
453;3623;0.11421;-0.216506;0.867514;
454;3631;0.130526;-0.25;0.991445;
455;3639;0.146842;-0.216506;1.11538;
456;3647;0.158786;-0.125;1.2061;
457;3742;0.323523;-0;1.20741;
458;3663;0.314854;0.125;1.17506;
459;3671;0.291171;0.216506;1.08667;
460;3679;0.258819;0.25;0.965926;
461;3687;0.226466;0.216506;0.845185;
462;3695;0.202783;0.125;0.756797;
463;3703;0.194114;-0;0.724444;
464;3711;0.202783;-0.125;0.756797;
465;3719;0.226466;-0.216506;0.845185;
466;3727;0.258819;-0.25;0.965926;
467;3735;0.291171;-0.216506;1.08667;
468;3743;0.314854;-0.125;1.17506;
469;3838;0.478355;-0;1.15485;
470;3759;0.465537;0.125;1.1239;
471;3767;0.430519;0.216506;1.03936;
472;3775;0.382684;0.25;0.923879;
473;3783;0.334848;0.216506;0.808394;
474;3791;0.29983;0.125;0.723854;
475;3799;0.287013;-0;0.69291;
476;3807;0.29983;-0.125;0.723854;
477;3815;0.334848;-0.216506;0.808394;
478;3823;0.382684;-0.25;0.923879;
479;3831;0.430519;-0.216506;1.03936;
480;3839;0.465537;-0.125;1.1239;
481;3934;0.625;-0;1.08253;
482;3855;0.608253;0.125;1.05352;
483;3863;0.5625;0.216506;0.974279;
484;3871;0.5;0.25;0.866025;
485;3879;0.4375;0.216506;0.757772;
486;3887;0.391747;0.125;0.678525;
487;3895;0.375;-0;0.649519;
488;3903;0.391747;-0.125;0.678525;
489;3911;0.4375;-0.216506;0.757772;
490;3919;0.5;-0.25;0.866025;
491;3927;0.5625;-0.216506;0.974279;
492;3935;0.608253;-0.125;1.05352;
493;4030;0.760952;-0;0.991692;
494;3951;0.740562;0.125;0.96512;
495;3959;0.684856;0.216506;0.892523;
496;3967;0.608761;0.25;0.793353;
497;3975;0.532666;0.216506;0.694184;
498;3983;0.476961;0.125;0.621587;
499;3991;0.456571;-0;0.595015;
500;3999;0.476961;-0.125;0.621587;
501;4007;0.532666;-0.216506;0.694184;
502;4015;0.608761;-0.25;0.793353;
503;4023;0.684856;-0.216506;0.892523;
504;4031;0.740562;-0.125;0.96512;
505;4126;0.883883;-0;0.883884;
506;4047;0.860199;0.125;0.8602;
507;4055;0.795495;0.216506;0.795496;
508;4063;0.707106;0.25;0.707107;
509;4071;0.618718;0.216506;0.618719;
510;4079;0.554013;0.125;0.554014;
511;4087;0.53033;-0;0.53033;
512;4095;0.554013;-0.125;0.554014;
513;4103;0.618718;-0.216506;0.618719;
514;4111;0.707106;-0.25;0.707107;
515;4119;0.795495;-0.216506;0.795496;
516;4127;0.860199;-0.125;0.8602;
517;4222;0.991692;-0;0.760952;
518;4143;0.965119;0.125;0.740562;
519;4151;0.892523;0.216506;0.684856;
520;4159;0.793353;0.25;0.608761;
521;4167;0.694184;0.216506;0.532666;
522;4175;0.621587;0.125;0.476961;
523;4183;0.595015;-0;0.456571;
524;4191;0.621587;-0.125;0.476961;
525;4199;0.694184;-0.216506;0.532666;
526;4207;0.793353;-0.25;0.608761;
527;4215;0.892523;-0.216506;0.684856;
528;4223;0.965119;-0.125;0.740562;
529;4318;1.08253;-0;0.625;
530;4239;1.05352;0.125;0.608253;
531;4247;0.974279;0.216506;0.5625;
532;4255;0.866025;0.25;0.5;
533;4263;0.757772;0.216506;0.4375;
534;4271;0.678525;0.125;0.391747;
535;4279;0.649519;-0;0.375;
536;4287;0.678525;-0.125;0.391747;
537;4295;0.757772;-0.216506;0.4375;
538;4303;0.866025;-0.25;0.5;
539;4311;0.974279;-0.216506;0.5625;
540;4319;1.05352;-0.125;0.608253;
541;4414;1.15485;-0;0.478355;
542;4335;1.1239;0.125;0.465537;
543;4343;1.03936;0.216506;0.430519;
544;4351;0.923879;0.25;0.382684;
545;4359;0.808394;0.216506;0.334848;
546;4367;0.723854;0.125;0.29983;
547;4375;0.69291;-0;0.287013;
548;4383;0.723854;-0.125;0.29983;
549;4391;0.808394;-0.216506;0.334848;
550;4399;0.923879;-0.25;0.382684;
551;4407;1.03936;-0.216506;0.430519;
552;4415;1.1239;-0.125;0.465537;
553;4510;1.20741;-0;0.323523;
554;4431;1.17506;0.125;0.314855;
555;4439;1.08667;0.216506;0.291171;
556;4447;0.965926;0.25;0.258819;
557;4455;0.845185;0.216506;0.226466;
558;4463;0.756797;0.125;0.202783;
559;4471;0.724444;-0;0.194114;
560;4479;0.756797;-0.125;0.202783;
561;4487;0.845185;-0.216506;0.226466;
562;4495;0.965926;-0.25;0.258819;
563;4503;1.08667;-0.216506;0.291171;
564;4511;1.17506;-0.125;0.314855;
565;4606;1.23931;-0;0.163158;
566;4527;1.2061;0.125;0.158786;
567;4535;1.11538;0.216506;0.146842;
568;4543;0.991445;0.25;0.130526;
569;4551;0.867514;0.216506;0.11421;
570;4559;0.776791;0.125;0.102266;
571;4567;0.743584;-0;0.097895;
572;4575;0.776791;-0.125;0.102266;
573;4583;0.867514;-0.216506;0.11421;
574;4591;0.991445;-0.25;0.130526;
575;4599;1.11538;-0.216506;0.146842;
576;4607;1.2061;-0.125;0.158786;
