ID;dart
571;2334;
572;2240;
573;2342;
574;2248;
575;2350;
576;2256;
577;2358;
578;2264;
579;2366;
580;2272;
581;2374;
582;2280;
583;2382;
584;2288;
585;2390;
586;2296;
587;2398;
588;2396;
589;2406;
590;2312;
591;2414;
592;2320;
593;2422;
594;2328;
595;2430;
596;2336;
597;2438;
598;2344;
599;2446;
600;2352;
601;2454;
602;2360;
603;2462;
604;2368;
605;2470;
606;2376;
607;2478;
608;2384;
609;2486;
610;2392;
611;2494;
612;2492;
613;2502;
614;2408;
615;2510;
616;2416;
617;2518;
618;2424;
619;2526;
620;2432;
621;2534;
622;2440;
623;2542;
624;2448;
625;2550;
626;2456;
627;2558;
628;2464;
629;2566;
630;2472;
631;2574;
632;2480;
633;2582;
634;2488;
635;2590;
636;2588;
637;2598;
638;2504;
639;2606;
640;2512;
641;2614;
642;2520;
643;2622;
644;2528;
645;2630;
646;2536;
647;2638;
648;2544;
649;2646;
650;2552;
651;2654;
652;2560;
653;2662;
654;2568;
655;2670;
656;2576;
657;2678;
658;2584;
659;2686;
660;2684;
661;2694;
662;2600;
663;2702;
664;2608;
665;2710;
666;2616;
667;2718;
668;2624;
669;2726;
670;2632;
671;2734;
672;2640;
673;2742;
674;2648;
675;2750;
676;2656;
677;2758;
678;2664;
679;2766;
680;2672;
681;2774;
682;2680;
683;2782;
684;2780;
685;2790;
686;2696;
687;2798;
688;2704;
689;2806;
690;2712;
691;2814;
692;2720;
693;2822;
694;2728;
695;2830;
696;2736;
697;2838;
698;2744;
699;2846;
700;2752;
701;2854;
702;2760;
703;2862;
704;2768;
705;2870;
706;2776;
707;2878;
708;2876;
709;2886;
710;2792;
711;2894;
712;2800;
713;2902;
714;2808;
715;2910;
716;2816;
717;2918;
718;2824;
719;2926;
720;2832;
721;2934;
722;2840;
723;2942;
724;2848;
725;2950;
726;2856;
727;2958;
728;2864;
729;2966;
730;2872;
731;2974;
732;2972;
733;2982;
734;2888;
735;2990;
736;2896;
737;2998;
738;2904;
739;3006;
740;2912;
741;3014;
742;2920;
743;3022;
744;2928;
745;3030;
746;2936;
747;3038;
748;2944;
749;3046;
750;2952;
751;3054;
752;2960;
753;3062;
